Model,avg vertex in degree,std vertex in degree,kurtosis vertex in degree,skewness vertex in degree,avg vertex out degree,std vertex out degree,kurtosis vertex out degree,skewness vertex out degree,avg clustering coefficient,std clustering coefficient,kurtosis clustering coefficient,skewness clustering coefficient
e_coli_core,6.305555555555555,5.264237015753061,1.4014811767749702,1.266129916961571,6.305555555555555,7.469640198253061,7.532070470803918,2.5320716014970523,0.3169397712567205,0.2770646727367087,1.0141567307748138,1.2129886199685844
iAB_RBC_283,4.388888888888889,8.003156865766389,96.0064841198126,9.214739975451005,4.388888888888889,9.727467256859226,125.7367585735162,10.299813785732324,0.13527057325932385,0.1533296618085594,3.8370528858777044,1.609462800038765
iAF1260,4.503597122302159,15.069085081391226,355.90665725364545,17.749897363615695,4.503597122302159,20.8244198450006,616.7670076941266,22.475074126083705,0.1679739944950701,0.16134308122897198,0.46715416836350343,0.8004365117860772
iAF1260b,4.513189448441247,15.118689297899188,354.24672927177255,17.716445700378596,4.513189448441247,20.855686470906257,616.5983936435646,22.468877671333725,0.16832056192133957,0.1614881042785418,0.4515202340348585,0.7953481688195602
iAF692,4.977707006369426,11.656009623678068,136.5497624889336,10.848783551246607,4.977707006369426,16.220204820646032,155.00043770454315,11.435459653882237,0.22456197737896938,0.1967623638885521,0.36887425821730124,0.7493433557692313
iAF987,5.038773669972948,14.345075242326798,247.7744890446534,14.772256488079588,5.038773669972948,20.66817430190733,299.7993345112382,15.886621631904957,0.2180376171856895,0.17960502107011747,0.46687187315142475,0.7310590342687393
iAM_Pb448,4.397336293007769,8.58151186247747,179.92938533087715,11.968656869369681,4.397336293007769,12.74063620407895,277.24689763363176,15.1901353301932,0.13920094080553672,0.18157937876775468,5.109967980006038,1.9686446674576668
iAM_Pc455,4.40110497237569,8.652876052065361,182.1559843519772,12.085808236971756,4.40110497237569,12.792236893752667,276.86838245855955,15.193302368136965,0.1398718661091206,0.1809753121767451,5.1319521911835135,1.9633787757474779
iAM_Pf480,4.413450937155457,8.65292781409055,181.69548644536061,12.062358736116973,4.413450937155457,12.859942502480626,280.3519905075463,15.275475273549892,0.13993675547554366,0.18029739513769488,5.204215506941525,1.9685524572886857
iAM_Pk459,4.399117971334069,8.62942322509272,181.41690641566012,12.033924956821506,4.399117971334069,12.806055593409557,278.4006570162938,15.229814655620316,0.14027184422197908,0.18115293541401203,5.075697053775455,1.9532460306230506
